Year,Week Reported,County,State,Positive Cases
2006,35,Alameda,California,1
2006,33,Butte,California,4
2006,34,Butte,California,1
2006,35,Butte,California,10
2006,36,Butte,California,2
2006,37,Butte,California,8
2006,38,Butte,California,3
2006,39,Butte,California,2
2006,43,Butte,California,1
2006,31,Colusa,California,1
2006,35,Colusa,California,1
2006,41,Colusa,California,1
2006,34,Contra Costa,California,3
2006,35,Contra Costa,California,1
2006,36,Contra Costa,California,1
2006,37,Contra Costa,California,1
2006,38,Contra Costa,California,1
2006,39,Contra Costa,California,1
2006,34,El Dorado,California,1
2006,48,El Dorado,California,1
2006,30,Fresno,California,1
2006,33,Fresno,California,3
2006,34,Fresno,California,1
2006,35,Fresno,California,2
2006,36,Fresno,California,1
2006,41,Fresno,California,1
2006,45,Fresno,California,1
2006,46,Fresno,California,1
2006,32,Glenn,California,2
2006,34,Glenn,California,1
2006,35,Glenn,California,3
2006,36,Glenn,California,2
2006,37,Glenn,California,1
2006,39,Glenn,California,3
2006,39,Imperial,California,1
2006,25,Kern,California,1
2006,29,Kern,California,1
2006,30,Kern,California,8
2006,31,Kern,California,1
2006,32,Kern,California,6
2006,33,Kern,California,3
2006,34,Kern,California,5
2006,35,Kern,California,5
2006,36,Kern,California,2
2006,37,Kern,California,6
2006,38,Kern,California,3
2006,39,Kern,California,4
2006,40,Kern,California,2
2006,42,Kern,California,1
2006,46,Kern,California,1
2006,33,Kings,California,1
2006,36,Lake,California,1
2006,40,Lake,California,1
2006,32,Los Angeles,California,1
2006,34,Los Angeles,California,1
2006,35,Los Angeles,California,1
2006,37,Los Angeles,California,2
2006,38,Los Angeles,California,3
2006,39,Los Angeles,California,1
2006,41,Los Angeles,California,2
2006,45,Los Angeles,California,1
2006,37,Marin,California,1
2006,33,Merced,California,1
2006,38,Merced,California,1
2006,41,Merced,California,1
2006,42,Merced,California,1
2006,32,Modoc,California,1
2006,37,Modoc,California,1
2006,34,Mono,California,1
2006,39,Napa,California,1
2006,35,Nevada,California,1
2006,34,Orange,California,2
2006,35,Orange,California,1
2006,38,Orange,California,2
2006,44,Orange,California,1
2006,33,Placer,California,1
2006,34,Placer,California,1
2006,35,Placer,California,2
2006,37,Placer,California,2
2006,38,Placer,California,1
2006,41,Placer,California,1
2006,33,Riverside,California,1
2006,37,Riverside,California,2
2006,43,Riverside,California,1
2006,31,Sacramento,California,1
2006,32,Sacramento,California,1
2006,33,Sacramento,California,2
2006,34,Sacramento,California,1
2006,35,Sacramento,California,2
2006,37,Sacramento,California,3
2006,38,Sacramento,California,1
2006,43,Sacramento,California,2
2006,45,Sacramento,California,1
2006,46,Sacramento,California,1
2006,39,San Bernardino,California,1
2006,43,San Bernardino,California,2
2006,39,San Diego,California,1
2006,29,San Joaquin,California,1
2006,33,San Joaquin,California,2
2006,34,San Joaquin,California,2
2006,38,San Joaquin,California,2
2006,39,San Joaquin,California,1
2006,35,San Luis Obispo,California,1
2006,33,Santa Clara,California,1
2006,35,Santa Clara,California,2
2006,36,Santa Clara,California,1
2006,39,Santa Clara,California,1
2006,35,Shasta,California,1
2006,36,Shasta,California,1
2006,41,Shasta,California,1
2006,42,Shasta,California,1
2006,33,Solano,California,2
2006,39,Solano,California,4
2006,29,Stanislaus,California,1
2006,33,Stanislaus,California,2
2006,34,Stanislaus,California,1
2006,35,Stanislaus,California,2
2006,36,Stanislaus,California,1
2006,37,Stanislaus,California,2
2006,39,Stanislaus,California,1
2006,41,Stanislaus,California,1
2006,29,Sutter,California,1
2006,32,Sutter,California,2
2006,34,Sutter,California,3
2006,35,Sutter,California,3
2006,37,Sutter,California,2
2006,40,Sutter,California,1
2006,36,Tehama,California,2
2006,38,Tehama,California,1
2006,36,Tulare,California,3
2006,37,Tulare,California,1
2006,40,Tulare,California,1
2006,41,Tulare,California,2
2006,42,Tulare,California,1
2006,35,Ventura,California,1
2006,36,Ventura,California,2
2006,30,Yolo,California,2
2006,31,Yolo,California,1
2006,32,Yolo,California,5
2006,33,Yolo,California,7
2006,34,Yolo,California,4
2006,35,Yolo,California,2
2006,36,Yolo,California,1
2006,37,Yolo,California,3
2006,41,Yolo,California,1
2006,37,Yuba,California,3
2006,44,Yuba,California,2
2007,30,Butte,California,2
2007,32,Butte,California,4
2007,33,Butte,California,1
2007,34,Butte,California,1
2007,35,Butte,California,2
2007,36,Butte,California,1
2007,37,Butte,California,5
2007,30,Colusa,California,1
2007,39,Colusa,California,1
2007,38,Contra Costa,California,1
2007,39,Contra Costa,California,1
2007,50,Contra Costa,California,1
2007,30,Fresno,California,2
2007,31,Fresno,California,3
2007,32,Fresno,California,2
2007,33,Fresno,California,1
2007,34,Fresno,California,1
2007,35,Fresno,California,1
2007,37,Fresno,California,1
2007,38,Fresno,California,1
2007,39,Fresno,California,2
2007,43,Fresno,California,2
2007,45,Fresno,California,1
2007,29,Glenn,California,1
2007,31,Glenn,California,1
2007,32,Glenn,California,2
2007,34,Glenn,California,1
2007,35,Glenn,California,2
2007,30,Imperial,California,1
2007,34,Imperial,California,1
2007,36,Imperial,California,1
2007,16,Kern,California,1
2007,25,Kern,California,1
2007,27,Kern,California,2
2007,28,Kern,California,5
2007,29,Kern,California,14
2007,30,Kern,California,6
2007,31,Kern,California,10
2007,32,Kern,California,10
2007,33,Kern,California,16
2007,34,Kern,California,14
2007,35,Kern,California,13
2007,36,Kern,California,9
2007,37,Kern,California,7
2007,38,Kern,California,8
2007,39,Kern,California,2
2007,40,Kern,California,8
2007,41,Kern,California,6
2007,42,Kern,California,2
2007,44,Kern,California,2
2007,45,Kern,California,2
2007,46,Kern,California,1
2007,49,Kern,California,1
